type,value,source_advisory,source_url,collected_at,tlp
domain,analyticemailmeter.com,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,emailanalytics.com.ua,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,i.analyticemailmeter.com,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,i.emailanalytics.com.ua,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,i.istc-cloud.com,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,i.mailnalysis.com,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,i.synacorzimbra.nl,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,i.zimbra-metadata.com,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,i.zimbrasoft.com.ua,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,i.zimbrastat.com,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,i.zmailanalytics.com,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,istc-cloud.com,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,mailnalysis.com,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,matclick.com,CISA AA23-347A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-347a,2026-08-10,CLEAR
domain,synacorzimbra.nl,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
domain,zimbra-metadata.com,CISA AA26-204A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a,2026-08-10,CLEAR
